sample	tissue	type	sample_type
GTEX-N7MS-0007-SM-2D7W1	DLBC	DLBC_normal_GTEx	normal
GTEX-QEG5-0006-SM-2I5FZ	DLBC	DLBC_normal_GTEx	normal
GTEX-XMK1-0005-SM-4B665	DLBC	DLBC_normal_GTEx	normal
GTEX-13G51-0005-SM-5N9EP	DLBC	DLBC_normal_GTEx	normal
GTEX-T6MN-0002-SM-3NMAH	DLBC	DLBC_normal_GTEx	normal
GTEX-148VJ-0006-SM-5NQB1	DLBC	DLBC_normal_GTEx	normal
GTEX-14ABY-0005-SM-5O99U	DLBC	DLBC_normal_GTEx	normal
GTEX-WFON-0005-SM-3NMC9	DLBC	DLBC_normal_GTEx	normal
GTEX-TSE9-0005-SM-4DXUF	DLBC	DLBC_normal_GTEx	normal
GTEX-TMZS-0006-SM-3DB8G	DLBC	DLBC_normal_GTEx	normal
GTEX-PLZ6-0006-SM-2I5FQ	DLBC	DLBC_normal_GTEx	normal
GTEX-OHPM-0006-SM-2HMKU	DLBC	DLBC_normal_GTEx	normal
GTEX-ZUA1-0005-SM-4YCEV	DLBC	DLBC_normal_GTEx	normal
GTEX-T5JW-0003-SM-3NMAD	DLBC	DLBC_normal_GTEx	normal
GTEX-WOFM-0005-SM-3MJF3	DLBC	DLBC_normal_GTEx	normal
GTEX-WOFM-0001-SM-4OOT2	DLBC	DLBC_normal_GTEx	normal
GTEX-139TT-0006-SM-5O9CG	DLBC	DLBC_normal_GTEx	normal
GTEX-11NV4-0005-SM-5N9EX	DLBC	DLBC_normal_GTEx	normal
GTEX-OXRN-0005-SM-2I5EU	DLBC	DLBC_normal_GTEx	normal
GTEX-PWN1-0006-SM-2S1NG	DLBC	DLBC_normal_GTEx	normal
GTEX-X4EP-0004-SM-4PQZX	DLBC	DLBC_normal_GTEx	normal
GTEX-13FTZ-0005-SM-5NQ9N	DLBC	DLBC_normal_GTEx	normal
GTEX-11P7K-0003-SM-5S2OU	DLBC	DLBC_normal_GTEx	normal
GTEX-XLM4-0004-SM-4AT5I	DLBC	DLBC_normal_GTEx	normal
GTEX-SN8G-0001-SM-3NM8L	DLBC	DLBC_normal_GTEx	normal
GTEX-147F4-0006-SM-5O99T	DLBC	DLBC_normal_GTEx	normal
GTEX-ZDTT-0006-SM-4WKFP	DLBC	DLBC_normal_GTEx	normal
GTEX-ZVZQ-0006-SM-51MR8	DLBC	DLBC_normal_GTEx	normal
GTEX-ZC5H-0004-SM-4WAXK	DLBC	DLBC_normal_GTEx	normal
GTEX-N7MS-0007-SM-26GME	DLBC	DLBC_normal_GTEx	normal
GTEX-QCQG-0006-SM-5SI8M	DLBC	DLBC_normal_GTEx	normal
GTEX-QEG4-0006-SM-2I5FY	DLBC	DLBC_normal_GTEx	normal
GTEX-11EQ9-0002-SM-5QGQ1	DLBC	DLBC_normal_GTEx	normal
GTEX-WFON-0005-SM-5S2RV	DLBC	DLBC_normal_GTEx	normal
GTEX-ZF2S-0006-SM-4WKHF	DLBC	DLBC_normal_GTEx	normal
GTEX-V1D1-0006-SM-3NMCE	DLBC	DLBC_normal_GTEx	normal
GTEX-12ZZX-0005-SM-5O9A9	DLBC	DLBC_normal_GTEx	normal
GTEX-RU1J-0003-SM-3K2A8	DLBC	DLBC_normal_GTEx	normal
GTEX-YFCO-0003-SM-4W21I	DLBC	DLBC_normal_GTEx	normal
GTEX-OXRO-0006-SM-2I5EM	DLBC	DLBC_normal_GTEx	normal
GTEX-Y8LW-0002-SM-4V6G2	DLBC	DLBC_normal_GTEx	normal
GTEX-TML8-0001-SM-3NMAF	DLBC	DLBC_normal_GTEx	normal
GTEX-RTLS-0006-SM-2TF58	DLBC	DLBC_normal_GTEx	normal
GTEX-147F3-0005-SM-5N9FI	DLBC	DLBC_normal_GTEx	normal
GTEX-ZLV1-0005-SM-4WWAP	DLBC	DLBC_normal_GTEx	normal
GTEX-PLZ4-0006-SM-5SI8L	DLBC	DLBC_normal_GTEx	normal
GTEX-13CZU-0005-SM-5LU8K	DLBC	DLBC_normal_GTEx	normal
GTEX-Y5V6-0005-SM-4V6FD	DLBC	DLBC_normal_GTEx	normal
GTEX-14E1K-0006-SM-5N9DY	DLBC	DLBC_normal_GTEx	normal
GTEX-S4P3-0006-SM-3K2AW	DLBC	DLBC_normal_GTEx	normal
GTEX-ZLV1-0001-SM-4WWAO	DLBC	DLBC_normal_GTEx	normal
GTEX-SJXC-0005-SM-2XCE7	DLBC	DLBC_normal_GTEx	normal
GTEX-12WSI-0005-SM-5O99K	DLBC	DLBC_normal_GTEx	normal
GTEX-ZVTK-0006-SM-57WBK	DLBC	DLBC_normal_GTEx	normal
GTEX-11TUW-0006-SM-5LZW2	DLBC	DLBC_normal_GTEx	normal
GTEX-11TT1-0005-SM-5NQ8Y	DLBC	DLBC_normal_GTEx	normal
GTEX-11ONC-0005-SM-5O9CY	DLBC	DLBC_normal_GTEx	normal
GTEX-T5JC-0001-SM-5S2S4	DLBC	DLBC_normal_GTEx	normal
GTEX-O5YT-0007-SM-32PK7	DLBC	DLBC_normal_GTEx	normal
GTEX-XMK1-0001-SM-4B64F	DLBC	DLBC_normal_GTEx	normal
GTEX-11P7K-0006-SM-5N9FM	DLBC	DLBC_normal_GTEx	normal
GTEX-WHSB-0005-SM-3LK7C	DLBC	DLBC_normal_GTEx	normal
GTEX-XQ8I-0006-SM-4BOQ5	DLBC	DLBC_normal_GTEx	normal
GTEX-Y114-0006-SM-4TT76	DLBC	DLBC_normal_GTEx	normal
GTEX-12KS4-0005-SM-5SI94	DLBC	DLBC_normal_GTEx	normal
GTEX-ZF2S-0004-SM-4WKFE	DLBC	DLBC_normal_GTEx	normal
GTEX-U4B1-0006-SM-3DB8E	DLBC	DLBC_normal_GTEx	normal
GTEX-14BIL-0006-SM-5N9F2	DLBC	DLBC_normal_GTEx	normal
GTEX-R55G-0006-SM-2TC6O	DLBC	DLBC_normal_GTEx	normal
GTEX-SUCS-0002-SM-3NMAJ	DLBC	DLBC_normal_GTEx	normal
GTEX-YB5E-0005-SM-4VDSO	DLBC	DLBC_normal_GTEx	normal
GTEX-XBEC-0006-SM-4AT5T	DLBC	DLBC_normal_GTEx	normal
GTEX-139T8-0006-SM-5NQ6V	DLBC	DLBC_normal_GTEx	normal
GTEX-12ZZW-0005-SM-5O9BY	DLBC	DLBC_normal_GTEx	normal
GTEX-X88G-0004-SM-47JZ6	DLBC	DLBC_normal_GTEx	normal
GTEX-X4EO-0004-SM-4QARM	DLBC	DLBC_normal_GTEx	normal
GTEX-147GR-0005-SM-5NQAO	DLBC	DLBC_normal_GTEx	normal
GTEX-Q2AH-0005-SM-33HBR	DLBC	DLBC_normal_GTEx	normal
GTEX-ZUA1-0002-SM-4YCF7	DLBC	DLBC_normal_GTEx	normal
GTEX-ZXG5-0005-SM-57WCN	DLBC	DLBC_normal_GTEx	normal
